sim_time,reservation_time_trigger,repositioning_strategy,RV_computation_time,Update_V2RB_computation_time,Compute_V2RB_computation_time,Solve_assignment_computation_time,N_V2RBs_at_start,N_V2RBs_after_update,N_V2RBs_after_build,N_Rqs_unassigned,N_Rqs_assigned,N_Rqs_locked,user_requests,request_batch
5460,0.0,0.0,0.06658267974853516,0.0015463829040527344,0.04018044471740723,0.004037618637084961,18,21,40,0,4,8,0.07202,0.11556
5520,0.0,0.0,0.028372526168823242,0.0,0.0031423568725585938,0.004305601119995117,7,7,15,0,1,7,0.02966,0.03812
5580,0.0,0.0,0.05775260925292969,0.0,0.0046253204345703125,0.0048732757568359375,12,12,25,0,3,6,0.059840000000000004,0.06927
5640,0.0,0.0,0.056713104248046875,0.003159761428833008,0.015838146209716797,0.004774332046508789,10,11,38,0,3,6,0.0605,0.08236
5700,0.0,0.02,0.03506636619567871,0.0015194416046142578,0.00917959213256836,0.004214048385620117,20,19,32,0,3,5,0.03591,0.05163
5760,0.0,0.0,0.17151165008544922,0.002060413360595703,0.06688714027404785,0.004566192626953125,9,8,79,0,8,2,0.17864,0.24751
5820,0.0,0.0,0.0,0.0015757083892822266,0.0,0.004743814468383789,19,17,19,0,2,7,0.0,0.00867
5880,0.0,0.0,0.06664848327636719,0.0010156631469726562,0.011533498764038086,0.0044438838958740234,15,12,30,0,4,6,0.07016,0.08715
5940,0.0,0.0,0.03883075714111328,0.0015714168548583984,0.020769834518432617,0.003980159759521484,17,17,28,0,4,6,0.03871,0.0666
6000,0.0,0.018,0.0,0.0,0.0010333061218261719,0.002051830291748047,8,8,8,0,0,8,0.0,0.00559
6060,0.0,0.0,0.03870844841003418,0.0,0.0030875205993652344,0.003314495086669922,7,7,16,0,1,7,0.04179,0.04756
6120,0.0,0.0,0.0,0.0,0.0,0.003241300582885742,6,6,6,0,0,6,0.0,0.00537
6180,0.0,0.0,0.07256340980529785,0.0,0.008539676666259766,0.003909587860107422,2,2,23,0,2,2,0.07186000000000001,0.08587
6240,0.0,0.0,0.10300374031066895,0.0,0.022029638290405273,0.0032074451446533203,10,7,43,0,4,3,0.10897000000000001,0.13112
6300,0.0,0.018,0.0,0.0026595592498779297,0.0005648136138916016,0.003169536590576172,13,13,14,0,1,5,0.0,0.00862
6360,0.0,0.0,0.029896259307861328,0.0015859603881835938,0.001524209976196289,0.003246784210205078,4,4,12,0,1,4,0.03187,0.03783
6420,0.0,0.0,0.12283873558044434,0.015813827514648438,0.03627276420593262,0.004710674285888672,8,7,57,0,5,4,0.1319,0.18264
6480,0.0,0.0,0.07709527015686035,0.007836580276489258,0.014204740524291992,0.004885673522949219,16,14,35,0,4,7,0.08215,0.10748
6540,0.0,0.0,0.06765198707580566,0.006573915481567383,0.0236053466796875,0.003209352493286133,15,13,29,0,4,8,0.07283,0.10416
6600,0.0,0.02,0.02608489990234375,0.0,0.02839517593383789,0.0019669532775878906,10,11,20,0,2,9,0.02943,0.06012
6660,0.0,0.0,0.02926802635192871,0.0031876564025878906,0.017969131469726562,0.002920866012573242,11,8,24,0,3,5,0.03245,0.05691
6720,0.0,0.0,0.07760763168334961,0.0,0.007974863052368164,0.0018842220306396484,9,8,23,0,3,7,0.08042,0.08994
6780,0.0,0.0,0.06060624122619629,0.0,0.021518707275390625,0.0037512779235839844,7,9,23,0,2,8,0.06406,0.08844
6840,0.0,0.0,0.03948688507080078,0.0016095638275146484,0.003186464309692383,0.0032896995544433594,14,11,19,0,2,9,0.04133,0.04934
6900,0.0,0.018,0.0,0.005024909973144531,0.003469705581665039,0.0020139217376708984,13,12,16,0,2,6,0.0,0.01318
6960,0.0,0.0,0.03778862953186035,0.004724264144897461,0.007370948791503906,0.002066373825073242,8,6,24,0,3,3,0.03901,0.0541
7020,0.0,0.0,0.03940939903259277,0.0005102157592773438,0.014762639999389648,0.008154869079589844,5,5,15,0,1,5,0.0391,0.06696
7080,0.0,0.0,0.0,0.0016069412231445312,0.0,0.00659632682800293,5,5,5,0,0,5,0.0,0.01405
7140,0.0,0.0,0.10743284225463867,0.0,0.007750988006591797,0.004835367202758789,3,3,23,0,2,3,0.12453,0.12269
